betai_mode,betaj_mode,betaij_mode,k_mode,m_mode,betai_low,betaj_low,betaij_low,k_low,m_low,betai_hi,betaj_hi,betaij_hi,k_hi,m_hi,betai,betaj,betaij,k,m,sigma,gamma,Ni,Ei0,Ii0,Ri0,Nj,Ej0,Ij0,Rj0
9.451953311,10.01434246,0.056311773,3.949352954,11.94325774,8.138079971,8.011711486,0.000564313,1.716203742,5.591440396,10.59053241,11.45474272,0.186990531,8.801786723,24.02795612,10.87884537,10.1047973,0.087173426,4.962036922,6.95885041,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.10817792,8.174800551,0.082212688,2.632219356,12.21039285,8.804598264,6.055823445,0.000115532,1.043645689,3.652461399,11.38107591,10.21614482,0.208397578,4.651865987,27.65296924,11.0853305,9.418248655,0.045112502,2.520386022,8.07290254,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
12.71784178,9.453752821,0.200815002,7.658922304,4.700307869,11.75828182,8.369014309,0.030618625,4.668509035,0.026416194,13.67935452,10.52974767,0.419166066,16.95107999,10.47271135,12.21528343,9.832901094,0.129113656,5.423002643,4.654673449,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
13.43175788,9.027529717,0.145123931,1.293004389,3.38143248,11.72754355,6.734308441,0.000298545,0.841443311,0.014800947,14.97571591,10.87692189,0.559684155,2.229352229,18.64178799,12.18748503,9.636214915,0.160982413,2.023387213,9.628905188,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.35504228,9.871473209,0.011089146,1.725715553,17.49888336,9.243076731,8.360318003,0.0002533,0.931611634,8.558524428,11.92695207,12.44502632,0.055654215,2.647677013,55.04764129,11.17354748,8.197632896,0.059458235,2.283806861,17.79487876,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.11771091,8.674706361,0.042381214,1.956995992,4.198602664,9.819624095,6.218070966,0.000563763,1.112800725,0.019908148,12.42889953,10.88194131,0.129678773,3.641638969,16.15439182,11.22224477,8.800217202,0.05395038,2.811869049,4.163112784,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
9.543764166,8.498379761,0.612863886,3.478926434,22.45492441,8.338394571,7.664641673,0.291503098,1.836324382,11.57032325,11.1160199,9.533449467,1.091647903,5.295200525,44.2783064,11.00600428,9.086925484,0.280446627,3.886101284,11.92570311,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.54103297,5.94533027,0.132153156,10.36909409,16.94780512,10.40368958,2.480507691,0.013340915,2.994188374,9.913275774,12.37852523,8.788665753,0.322560454,40.19805957,26.27068145,10.71637252,9.927372036,0.002256509,4.630316316,17.85692936,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
12.32878483,9.842764855,0.179603886,4.958673295,17.51872004,11.20658366,8.836581201,0.070502656,2.53749341,9.582637107,13.46281826,10.63817206,0.357034282,7.575860244,29.57174398,11.46170248,9.72363011,0.253693366,5.281500868,16.5106724,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.41809757,3.693605402,0.002370414,13.59906238,6.657799573,10.48824495,0.093227719,1.68E-05,1.85930416,2.798838594,12.4895963,10.15856665,0.024604706,43.63060936,13.61300442,11.5399249,7.762143886,0.005898624,5.341700443,5.280054751,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.88804287,10.56135064,0.189033097,5.35931077,9.109611786,10.96745476,9.604262691,0.032519513,3.158693327,4.409542334,13.17108134,11.34336395,0.401043576,9.830727191,20.63704727,12.15894149,10.19277781,0.247078633,5.457899074,5.592991841,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
